"TALHAO";"AREA_TL";"DATA_PL";"ESPAC";"PARCELA";"DATA_MD";"AREA_PC";"COVA";"DAP";"HT";"OBS";"HD"
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;20;11;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;21;13;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;22;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;23;13;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;24;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;25;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;26;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;27;12,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;28;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;29;13;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;30;11,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;31;10,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;32;11,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;33;12,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;34;12,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;35;9,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;36;10;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;37;10;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;38;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;39;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;40;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;41;11,5;NA;"N";19,98
