ARVORE;DAP;HT;hi;di_cc;e_casca
25;18,78028328;31,9;22;7,957747155;3
25;18,78028328;31,9;24;6,68450761;3
25;18,78028328;31,9;26;5,570423008;2
25;18,78028328;31,9;28;3,978873577;2
25;18,78028328;31,9;30;1,273239545;1
26;18,78028328;33,3;0,1;20,6901426;6
26;18,78028328;33,3;0,5;19,41690306;7
26;18,78028328;33,3;1;18,78028328;7
26;18,78028328;33,3;1,5;18,4619734;6
26;18,78028328;33,3;2;18,14366351;5
26;18,78028328;33,3;4;17,18873385;5
26;18,78028328;33,3;6;16,71126902;5
26;18,78028328;33,3;8;15,59718442;4
26;18,78028328;33,3;10;14,64225476;4
26;18,78028328;33,3;12;13,68732511;3
26;18,78028328;33,3;14;12,89155039;3
26;18,78028328;33,3;16;11,77746579;3
26;18,78028328;33,3;18;10,82253613;4
26;18,78028328;33,3;20;9,867606472;4
26;18,78028328;33,3;22;8,594366927;4
26;18,78028328;33,3;24;7,321127382;3
26;18,78028328;33,3;26;6,525352667;3
26;18,78028328;33,3;28;4,61549335;2
26;18,78028328;33,3;30;2,705634033;2
26;18,78028328;33,3;32;1,432394488;1
27;18,93943823;31,8;0,1;22,91831181;9
27;18,93943823;31,8;0,5;21,8042272;8
27;18,93943823;31,8;1;20,37183272;7
27;18,93943823;31,8;1,5;19,73521294;7
27;18,93943823;31,8;2;19,09859317;6
27;18,93943823;31,8;4;18,62112834;6
27;18,93943823;31,8;6;17,82535363;5
27;18,93943823;31,8;8;16,71126902;4
27;18,93943823;31,8;10;15,91549431;4
27;18,93943823;31,8;12;14,80140971;3
27;18,93943823;31,8;14;14,32394488;3
27;18,93943823;31,8;16;13,36901522;3
27;18,93943823;31,8;18;12,09577567;3
27;18,93943823;31,8;20;11,14084602;3
27;18,93943823;31,8;22;9,708451529;3
27;18,93943823;31,8;24;8,594366927;3
27;18,93943823;31,8;26;7,161972439;2
27;18,93943823;31,8;28;6,047887837;2
27;18,93943823;31,8;30;3,978873577;1
28;19,73521294;32,3;0,1;21,64507226;10
28;19,73521294;32,3;0,5;20,6901426;8
28;19,73521294;32,3;1;20,05352283;7
28;19,73521294;32,3;1,5;18,78028328;6
28;19,73521294;32,3;2;18,14366351;5
