"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca";"di_sc";"AS_CC";"AS_SC";"VCC";"VSC"
11;15,11971959;26,9;22;5,888732894;2;5,488732894;0,00272353896328994;0,00236610533392944;0,00406839823216342;0,00346353097344174
11;15,11971959;26,9;24;4,13802852;2;3,73802852;0,00134485926887348;0,0010974256395123;0,00163133816640807;0,00132704612970371
11;15,11971959;26,9;26;1,909859317;1;1,709859317;0,000286478897534588;0,000229620490191406;NA;NA
12;15,27887454;27,75;0,1;16,87042397;6;15,67042397;0,0223533117632433;0,0192864090983467;0,00829197253481225;0,00720429996519531
12;15,27887454;27,75;0,5;15,59718442;5;14,59718442;0,019106550910818;0,0167350907276298;0,00945629041385561;0,00816419970193683
12;15,27887454;27,75;1;15,43802948;6;14,23802948;0,0187186107446045;0,0159217080801175;0,00926331504910453;0,00798372433694291
12;15,27887454;27,75;1,5;15,27887454;5;14,27887454;0,0183346494518137;0,0160131892676542;0,0090723291151273;0,00791784902331885
12;15,27887454;27,75;2;15,11971959;5;14,11971959;0,0179546670086956;0,0156582068256212;0,034793259977573;0,0302753396115381
12;15,27887454;27,75;4;14,64225476;5;13,64225476;0,0168385929688775;0,0146171327859169;0,0308760589501723;0,0274228731010676
12;15,27887454;27,75;6;13,36901522;3;12,76901522;0,0140374659812948;0,0128057403151507;0,0264535409708383;0,024065089638978
12;15,27887454;27,75;8;12,5732405;3;11,9732405;0,0124160749895435;0,0112593493238273;0,0233102308464033;0,0210717795144563
12;15,27887454;27,75;10;11,77746579;3;11,17746579;0,0108941558568598;0,009812430190629;0,0198247376058658;0,0177662862732494
12;15,27887454;27,75;12;10,66338119;3;10,06338119;0,00893058174900602;0,00795385608262038;0,0160925541888707;0,0142441028563216
12;15,27887454;27,75;14;9,549296586;3;8,949296586;0,00716197243986471;0,00629024677370119;0,0129631701156151;0,0113097187833304
12;15,27887454;27,75;16;8,594366927;3;7,994366927;0,00580119767575041;0,00501947200962917;0,00965274729852655;0,00844358800302239
